ID,독자(인물),술어(관계),저서(문헌),태도(점수),근거(문헌),판단내부저자(인물),작업자,추정상태,추정근거,근거 원문,비고
,김기림,cite,전쟁 편지(1917.08.18.),2,상아탑의 비극 8,,유건수,confirmed,왜 그러냐 하면 그들의 좋은 선구자 재크 와게 는 예술은 한 개의 미련한 물건이다 고 하지 않았는가.,,
,김기림,cite,"동물들과 그들의 인간들, 인간들과 그들의 동물들",2,상아탑의 비극 8,,유건수,confirmed,"그리고 포엘 류말 은 말했다. 사람으로 하여금 이것이 미다, 추다 하고 공언하며 결심하기를 강요하는 허영은 문학의 몇 시대를 지나 세련된 오류와 그들의 감상적 흥분- 그것이 낳는 무질서에 기인하는 것이다 하고.",,
,김기림,cite,초현실주의혁명,2,상아탑의 비극 8,,유건수,confirmed,"잠간 그들의 말에 귀를 빌리자. 꿈만이 사람에게 자유에의 모든 권리를 준다……. 슈르리얼리즘 은 잠, 알콜, 담배, 에텔, 아편, 코카인, 몰핀 의 십자로 다 . 그래서 그들이 의지 하는 것은 무엇인가. 자살 이다.",,
,김기림,cite,유진오,4,예술에 있어서의 『리얼리티』『모럴』 문제 1,,유건수,Presumed,이야기는 매우 자미 업스나 문장은 아름답지 못하나 장혁주 씨의 소설은 노푸게 평가되고  잇다고 유진오 씨는 말하엿다고 기억한다.,,
,김기림,criticize,버지니아 울프,4,예술에 있어서의 『리얼리티』『모럴』 문제 1,,유건수,confirmed,사실 『버-지니아 울프』의 소설 속에는 자미잇는 이야기가 업다.,,
,김기림,criticize,율리시즈(Ulysses),4,예술에 있어서의 『리얼리티』『모럴』 문제 1,,유건수,presumed,『쪼이쓰』의 『율리씨-즈』의 일본역을 읽엇더니 거기는 자미잇는 이야기는 업섯다.,,
,김기림,criticize,안톤 체호프,4,예술에 있어서의 『리얼리티』『모럴』 문제 1,,유건수,presumed,낡은 작가로서도 『체홉흐』나 『모-팟상』의 단편들이 우리를 따리는 것은 자미잇는 이야기 이외의 것이 아니엿든가?,,
,김기림,criticize,모파상,4,예술에 있어서의 『리얼리티』『모럴』 문제 1,,유건수,presumed,낡은 작가로서도 『체홉흐』나 『모-팟상』의 단편들이 우리를 따리는 것은 자미잇는 이야기 이외의 것이 아니엿든가?,,
,김기림,criticize,이효석,5,예술에 있어서의 『리얼리티』『모럴』 문제 1,,유건수,presumed,엇던 예술가에게 잇서서는 방법의 독창성이 매우 빗나서 우리를 매혹하는 일이 잇다. 예를 들면 우리가 최근의 이효석 씨의 작품에 잇서서와 가튼 때다.,,
,김기림,cite,엘리엇,5,예술에 있어서의 『리얼리티』『모럴』 문제 1,,유건수,presumed,어대선가도 인용한 일이 잇지만은 『엘리옷트』는 『에즈라 파운드』에 대하여서가 이런 의미의 말을 하엿다. 『내가 그에게 잇글리우는 것은 그가 무엇을 말하는가 하는 점이 아니고 엇더케 말하는가 하는 점이다』라고-,,
,김기림,cite,순수의 전조,4,상아탑의 비극-사포에서 초현실파까지,,전세진,Confirmed,"윌리엄 블레이크가 ""한 줌의 모래를 통하여 무한을 알고 일순의 짧은 시간을 통하여 영원을 느끼던"":, 그러한 시의 신비주의도 대중의 인식 능력의 먼 피방에 놓여 있는 것인가보다.",,
,김기림,cite,앙드레 지드,3,상아탑의 비극-사포에서 초현실파까지,,전세진,Confirmed,"앙드레 지드가 ""다다이즘이라고 하는 것은 결코 일정한 주장을 가지고 있는 것이 아니고, 단순한 모든 예술의 파괴운동을 가리킨 것이다.""라고 말하였을 때 다다이스트 자신조차 이것을 부인할 수 없었을 것이다.",,
,김기림,cite,샹느 비에트의 시,5,상아탑의 비극 6,,정성훈,presumed,이派의 詩人 『샨느비에-트』는 休戰當時에 그들이가지고잇던 世界友愛의建設의 꿈이 넘우나 無惨하게 紏紏된것을보고 이러케 노래햇다. 『世界地圖우헤 둥굴고잇는 장사부치들이 民衆을 발톱으로 抹殺하고 칼날로써 그우헤 사람을그린다』,,
,김기림,cite,파울 클레,5,상아탑의 비극 7,,정성훈,presumed,"그들은 파울 클레 씨가 말한 것처럼 ""기세 좋고 흥미 있는 그리고 염증이 나지 않는 세상의 굉장한 광대""였던 것을 인정하지 않을 수 없다.",,
